image_id,label,variety,age,image_path
109387.jpg,blast,AtchayaPonni,50,./inputs/train_images/blast/109387.jpg
109428.jpg,bacterial_leaf_blight,ADT45,72,./inputs/train_images/bacterial_leaf_blight/109428.jpg
105846.jpg,brown_spot,ADT45,55,./inputs/train_images/brown_spot/105846.jpg
104475.jpg,blast,ADT45,70,./inputs/train_images/blast/104475.jpg
102822.jpg,bacterial_leaf_streak,ADT45,68,./inputs/train_images/bacterial_leaf_streak/102822.jpg
104761.jpg,bacterial_panicle_blight,Ponni,80,./inputs/train_images/bacterial_panicle_blight/104761.jpg
105029.jpg,downy_mildew,Zonal,55,./inputs/train_images/downy_mildew/105029.jpg
108142.jpg,hispa,ADT45,70,./inputs/train_images/hispa/108142.jpg
106541.jpg,dead_heart,KarnatakaPonni,75,./inputs/train_images/dead_heart/106541.jpg
108002.jpg,blast,ADT45,67,./inputs/train_images/blast/108002.jpg
107453.jpg,brown_spot,ADT45,70,./inputs/train_images/brown_spot/107453.jpg
101797.jpg,brown_spot,ADT45,70,./inputs/train_images/brown_spot/101797.jpg
109950.jpg,bacterial_leaf_blight,ADT45,50,./inputs/train_images/bacterial_leaf_blight/109950.jpg
103452.jpg,blast,KarnatakaPonni,75,./inputs/train_images/blast/103452.jpg
110198.jpg,hispa,ADT45,60,./inputs/train_images/hispa/110198.jpg
110059.jpg,hispa,ADT45,70,./inputs/train_images/hispa/110059.jpg
102165.jpg,hispa,ADT45,70,./inputs/train_images/hispa/102165.jpg
105896.jpg,blast,KarnatakaPonni,75,./inputs/train_images/blast/105896.jpg
107257.jpg,normal,ADT45,60,./inputs/train_images/normal/107257.jpg
107354.jpg,blast,KarnatakaPonni,75,./inputs/train_images/blast/107354.jpg
109381.jpg,dead_heart,Onthanel,50,./inputs/train_images/dead_heart/109381.jpg
102162.jpg,dead_heart,ADT45,70,./inputs/train_images/dead_heart/102162.jpg
107643.jpg,bacterial_leaf_blight,IR20,50,./inputs/train_images/bacterial_leaf_blight/107643.jpg
101084.jpg,tungro,ADT45,70,./inputs/train_images/tungro/101084.jpg
106996.jpg,normal,ADT45,60,./inputs/train_images/normal/106996.jpg
102869.jpg,hispa,AndraPonni,65,./inputs/train_images/hispa/102869.jpg
108176.jpg,dead_heart,ADT45,70,./inputs/train_images/dead_heart/108176.jpg
109547.jpg,blast,KarnatakaPonni,50,./inputs/train_images/blast/109547.jpg
106913.jpg,tungro,ADT45,65,./inputs/train_images/tungro/106913.jpg
101237.jpg,downy_mildew,KarnatakaPonni,50,./inputs/train_images/downy_mildew/101237.jpg
106923.jpg,hispa,AndraPonni,65,./inputs/train_images/hispa/106923.jpg
105953.jpg,downy_mildew,KarnatakaPonni,50,./inputs/train_images/downy_mildew/105953.jpg
108555.jpg,blast,ADT45,70,./inputs/train_images/blast/108555.jpg
102183.jpg,hispa,AtchayaPonni,65,./inputs/train_images/hispa/102183.jpg
107223.jpg,hispa,AtchayaPonni,57,./inputs/train_images/hispa/107223.jpg
106239.jpg,hispa,AtchayaPonni,65,./inputs/train_images/hispa/106239.jpg
107916.jpg,hispa,AndraPonni,65,./inputs/train_images/hispa/107916.jpg
109386.jpg,normal,ADT45,60,./inputs/train_images/normal/109386.jpg
106341.jpg,blast,ADT45,70,./inputs/train_images/blast/106341.jpg
109541.jpg,blast,ADT45,70,./inputs/train_images/blast/109541.jpg
107794.jpg,downy_mildew,KarnatakaPonni,70,./inputs/train_images/downy_mildew/107794.jpg
107545.jpg,blast,AndraPonni,45,./inputs/train_images/blast/107545.jpg
104156.jpg,blast,ADT45,70,./inputs/train_images/blast/104156.jpg
108172.jpg,bacterial_panicle_blight,ADT45,70,./inputs/train_images/bacterial_panicle_blight/108172.jpg
107199.jpg,brown_spot,KarnatakaPonni,75,./inputs/train_images/brown_spot/107199.jpg
102740.jpg,hispa,ADT45,70,./inputs/train_images/hispa/102740.jpg
109090.jpg,hispa,ADT45,60,./inputs/train_images/hispa/109090.jpg
104724.jpg,bacterial_leaf_streak,Zonal,70,./inputs/train_images/bacterial_leaf_streak/104724.jpg
102046.jpg,bacterial_panicle_blight,Ponni,80,./inputs/train_images/bacterial_panicle_blight/102046.jpg
108301.jpg,brown_spot,ADT45,55,./inputs/train_images/brown_spot/108301.jpg
107877.jpg,normal,Ponni,60,./inputs/train_images/normal/107877.jpg
103353.jpg,normal,ADT45,70,./inputs/train_images/normal/103353.jpg
108392.jpg,downy_mildew,KarnatakaPonni,50,./inputs/train_images/downy_mildew/108392.jpg
100715.jpg,dead_heart,ADT45,65,./inputs/train_images/dead_heart/100715.jpg
101896.jpg,brown_spot,ADT45,55,./inputs/train_images/brown_spot/101896.jpg
106427.jpg,hispa,ADT45,70,./inputs/train_images/hispa/106427.jpg
102279.jpg,normal,Ponni,55,./inputs/train_images/normal/102279.jpg
100847.jpg,dead_heart,ADT45,80,./inputs/train_images/dead_heart/100847.jpg
108304.jpg,bacterial_leaf_streak,Zonal,70,./inputs/train_images/bacterial_leaf_streak/108304.jpg
